SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
421,ML,Meghalaya,ML_East Garo Hills,East Garo Hills,339,0,338,1,0,0,0,0,0,,
422,ML,Meghalaya,ML_East Jaintia Hills,East Jaintia Hills,556,4,552,0,0,0,0,0,0,,
423,ML,Meghalaya,ML_East Khasi Hills,East Khasi Hills,8855,118,8612,125,0,0,0,0,0,,
424,ML,Meghalaya,ML_North Garo Hills,North Garo Hills,120,0,118,2,0,0,0,0,0,,
425,ML,Meghalaya,ML_Ribhoi,Ribhoi,1408,13,1393,2,0,0,0,0,0,,
426,ML,Meghalaya,ML_South Garo Hills,South Garo Hills,198,0,198,0,0,0,0,0,0,,
427,ML,Meghalaya,ML_South West Garo Hills,South West Garo Hills,200,0,198,2,0,0,0,0,0,,
428,ML,Meghalaya,ML_South West Khasi Hills,South West Khasi Hills,57,0,57,0,0,0,0,0,0,,
429,ML,Meghalaya,ML_West Garo Hills,West Garo Hills,1747,27,1703,17,0,0,0,0,0,,
430,ML,Meghalaya,ML_West Jaintia Hills,West Jaintia Hills,545,3,541,1,0,0,0,0,0,,
431,ML,Meghalaya,ML_West Khasi Hills,West Khasi Hills,182,2,179,1,0,0,0,0,0,,
0,MN,Manipur,MN_CAPF Personnel,CAPF Personnel,2676,1259,1415,2,0,0,0,0,0,,
405,MN,Manipur,MN_Bishnupur,Bishnupur,1350,1267,58,25,0,0,0,0,0,,
406,MN,Manipur,MN_Chandel,Chandel,379,366,4,9,0,0,0,0,0,,
407,MN,Manipur,MN_Churachandpur,Churachandpur,1529,1442,58,29,0,0,0,0,0,,
408,MN,Manipur,MN_Imphal East,Imphal East,5731,5504,150,77,0,0,0,0,0,,
409,MN,Manipur,MN_Imphal West,Imphal West,8947,8793,52,102,0,0,0,0,0,,
410,MN,Manipur,MN_Jiribam,Jiribam,271,269,2,0,0,0,0,0,0,,
411,MN,Manipur,MN_Kakching,Kakching,830,795,27,8,0,0,0,0,0,,
412,MN,Manipur,MN_Kamjong,Kamjong,253,236,17,0,0,0,0,0,0,,
413,MN,Manipur,MN_Kangpokpi,Kangpokpi,626,597,19,10,0,0,0,0,0,,
414,MN,Manipur,MN_Noney,Noney,335,316,18,1,0,0,0,0,0,,
415,MN,Manipur,MN_Pherzawl,Pherzawl,37,22,15,0,0,0,0,0,0,,
416,MN,Manipur,MN_Senapati,Senapati,509,487,21,1,0,0,0,0,0,,
417,MN,Manipur,MN_Tamenglong,Tamenglong,1400,1362,32,6,0,0,0,0,0,,
418,MN,Manipur,MN_Tengnoupal,Tengnoupal,290,276,13,1,0,0,0,0,0,,
419,MN,Manipur,MN_Thoubal,Thoubal,2351,2288,23,40,0,0,0,0,0,,
420,MN,Manipur,MN_Ukhrul,Ukhrul,545,524,18,3,0,0,0,0,0,,
317,MP,Madhya Pradesh,MP_Agar Malwa,Agar Malwa,911,167,733,11,0,0,0,0,0,,
318,MP,Madhya Pradesh,MP_Alirajpur,Alirajpur,1623,157,1450,16,0,0,0,0,0,,
319,MP,Madhya Pradesh,MP_Anuppur,Anuppur,2468,162,2290,16,0,0,0,0,0,,
320,MP,Madhya Pradesh,MP_Ashoknagar,Ashoknagar,1338,143,1178,17,0,0,0,0,0,,
321,MP,Madhya Pradesh,MP_Balaghat,Balaghat,3806,332,3455,19,0,0,0,0,0,,
322,MP,Madhya Pradesh,MP_Barwani,Barwani,4140,648,3458,34,0,0,0,0,0,,
323,MP,Madhya Pradesh,MP_Betul,Betul,5339,607,4645,87,0,0,0,0,0,,
324,MP,Madhya Pradesh,MP_Bhind,Bhind,1606,67,1529,10,0,0,0,0,0,,
325,MP,Madhya Pradesh,MP_Bhopal,Bhopal,56598,5011,50943,644,0,0,0,0,0,,
326,MP,Madhya Pradesh,MP_Burhanpur,Burhanpur,1593,185,1377,31,0,0,0,0,0,,
327,MP,Madhya Pradesh,MP_Chhatarpur,Chhatarpur,2270,86,2150,34,0,0,0,0,0,,
328,MP,Madhya Pradesh,MP_Chhindwara,Chhindwara,4306,585,3652,69,0,0,0,0,0,,
329,MP,Madhya Pradesh,MP_Damoh,Damoh,3294,226,2974,94,0,0,0,0,0,,
330,MP,Madhya Pradesh,MP_Datia,Datia,2159,154,1984,21,0,0,0,0,0,,
331,MP,Madhya Pradesh,MP_Dewas,Dewas,3575,220,3326,29,0,0,0,0,0,,
332,MP,Madhya Pradesh,MP_Dhar,Dhar,4923,295,4564,64,0,0,0,0,0,,
333,MP,Madhya Pradesh,MP_Dindori,Dindori,1293,169,1123,1,0,0,0,0,0,,
335,MP,Madhya Pradesh,MP_Guna,Guna,2008,267,1714,27,0,0,0,0,0,,
336,MP,Madhya Pradesh,MP_Gwalior,Gwalior,19007,1520,17245,242,0,0,0,0,0,,
337,MP,Madhya Pradesh,MP_Harda,Harda,2386,106,2243,37,0,0,0,0,0,,
338,MP,Madhya Pradesh,MP_Hoshangabad,Hoshangabad,4299,192,4044,63,0,0,0,0,0,,
339,MP,Madhya Pradesh,MP_Indore,Indore,76680,6921,68770,989,0,0,0,0,0,,
340,MP,Madhya Pradesh,MP_Jabalpur,Jabalpur,21175,2015,18882,278,0,0,0,0,0,,
341,MP,Madhya Pradesh,MP_Jhabua,Jhabua,3233,243,2963,27,0,0,0,0,0,,
342,MP,Madhya Pradesh,MP_Katni,Katni,3193,722,2450,21,0,0,0,0,0,,
334,MP,Madhya Pradesh,MP_Khandwa,Khandwa,3069,194,2807,68,0,0,0,0,0,,
368,MP,Madhya Pradesh,MP_Khargone,Khargone,7134,621,6389,124,0,0,0,0,0,,
343,MP,Madhya Pradesh,MP_Mandla,Mandla,1526,177,1337,12,0,0,0,0,0,,
344,MP,Madhya Pradesh,MP_Mandsaur,Mandsaur,3488,271,3179,38,0,0,0,0,0,,
345,MP,Madhya Pradesh,MP_Morena,Morena,3384,87,3268,29,0,0,0,0,0,,
346,MP,Madhya Pradesh,MP_Narsinghpur,Narsinghpur,4410,466,3911,33,0,0,0,0,0,,
347,MP,Madhya Pradesh,MP_Neemuch,Neemuch,3613,333,3242,38,0,0,0,0,0,,
348,MP,Madhya Pradesh,MP_Niwari,Niwari,812,103,705,4,0,0,0,0,0,,
0,MP,Madhya Pradesh,MP_Other Region,Other Region,0,0,0,0,0,0,0,0,0,,
349,MP,Madhya Pradesh,MP_Panna,Panna,1480,201,1274,5,0,0,0,0,0,,
350,MP,Madhya Pradesh,MP_Raisen,Raisen,3027,289,2690,48,0,0,0,0,0,,
351,MP,Madhya Pradesh,MP_Rajgarh,Rajgarh,2991,325,2594,72,0,0,0,0,0,,
352,MP,Madhya Pradesh,MP_Ratlam,Ratlam,6653,854,5692,107,0,0,0,0,0,,
353,MP,Madhya Pradesh,MP_Rewa,Rewa,4817,387,4393,37,0,0,0,0,0,,
354,MP,Madhya Pradesh,MP_Sagar,Sagar,6572,412,6004,156,0,0,0,0,0,,
355,MP,Madhya Pradesh,MP_Satna,Satna,4062,278,3740,44,0,0,0,0,0,,
356,MP,Madhya Pradesh,MP_Sehore,Sehore,3454,392,3014,48,0,0,0,0,0,,
357,MP,Madhya Pradesh,MP_Seoni,Seoni,2219,330,1878,11,0,0,0,0,0,,
358,MP,Madhya Pradesh,MP_Shahdol,Shahdol,3583,337,3216,30,0,0,0,0,0,,
359,MP,Madhya Pradesh,MP_Shajapur,Shajapur,2521,449,2044,28,0,0,0,0,0,,
360,MP,Madhya Pradesh,MP_Sheopur,Sheopur,1664,51,1596,17,0,0,0,0,0,,
361,MP,Madhya Pradesh,MP_Shivpuri,Shivpuri,4160,325,3805,30,0,0,0,0,0,,
362,MP,Madhya Pradesh,MP_Sidhi,Sidhi,2318,86,2219,13,0,0,0,0,0,,
363,MP,Madhya Pradesh,MP_Singrauli,Singrauli,2243,198,2019,26,0,0,0,0,0,,
364,MP,Madhya Pradesh,MP_Tikamgarh,Tikamgarh,1607,206,1374,27,0,0,0,0,0,,
365,MP,Madhya Pradesh,MP_Ujjain,Ujjain,6949,1142,5691,116,0,0,0,0,0,,
366,MP,Madhya Pradesh,MP_Umaria,Umaria,1772,348,1403,21,0,0,0,0,0,,
367,MP,Madhya Pradesh,MP_Vidisha,Vidisha,4469,424,3972,73,0,0,0,0,0,,
432,MZ,Mizoram,MZ_Aizawl,Aizawl,2993,60,2923,10,0,0,0,0,0,,
433,MZ,Mizoram,MZ_Champhai,Champhai,108,6,102,0,0,0,0,0,0,,
729,MZ,Mizoram,MZ_Hnahthial,Hnahthial,23,2,21,0,0,0,0,0,0,,
730,MZ,Mizoram,MZ_Khawzawl,Khawzawl,23,0,23,0,0,0,0,0,0,,
434,MZ,Mizoram,MZ_Kolasib,Kolasib,313,18,295,0,0,0,0,0,0,,
435,MZ,Mizoram,MZ_Lawngtlai,Lawngtlai,340,0,340,0,0,0,0,0,0,,
436,MZ,Mizoram,MZ_Lunglei,Lunglei,420,2,418,0,0,0,0,0,0,,
437,MZ,Mizoram,MZ_Mamit,Mamit,85,1,84,0,0,0,0,0,0,,
438,MZ,Mizoram,MZ_Saiha,Saiha,39,0,39,0,0,0,0,0,0,,
728,MZ,Mizoram,MZ_Saitual,Saitual,33,0,33,0,0,0,0,0,0,,
439,MZ,Mizoram,MZ_Serchhip,Serchhip,181,1,179,1,0,0,0,0,0,,
0,NL,Nagaland,NL_Others,Others,0,0,0,0,0,0,0,0,0,,
440,NL,Nagaland,NL_Dimapur,Dimapur,6507,23,6345,62,77,0,0,0,0,,
441,NL,Nagaland,NL_Kiphire,Kiphire,41,0,40,1,0,0,0,0,0,,
442,NL,Nagaland,NL_Kohima,Kohima,4036,127,3840,21,48,0,0,0,0,,
443,NL,Nagaland,NL_Longleng,Longleng,19,0,10,0,9,0,0,0,0,,
444,NL,Nagaland,NL_Mokokchung,Mokokchung,195,0,184,3,8,0,0,0,0,,
445,NL,Nagaland,NL_Mon,Mon,605,0,594,2,9,0,0,0,0,,
446,NL,Nagaland,NL_Peren,Peren,507,0,506,0,1,0,0,0,0,,
447,NL,Nagaland,NL_Phek,Phek,47,0,47,0,0,0,0,0,0,,
448,NL,Nagaland,NL_Tuensang,Tuensang,250,0,248,1,1,0,0,0,0,,
449,NL,Nagaland,NL_Wokha,Wokha,39,1,35,1,2,0,0,0,0,,
450,NL,Nagaland,NL_Zunheboto,Zunheboto,142,0,139,0,3,0,0,0,0,,
0,OR,Odisha,OR_State Pool,State Pool,8737,214,8523,0,0,0,0,0,0,,
0,OR,Odisha,OR_Others,Others,0,0,0,0,0,0,0,0,0,,
451,OR,Odisha,OR_Angul,Angul,11786,199,11550,37,0,0,0,0,0,,
452,OR,Odisha,OR_Balangir,Balangir,9149,167,8940,42,0,0,0,0,0,,
453,OR,Odisha,OR_Balasore,Balasore,12664,103,12460,101,0,0,0,0,0,,
454,OR,Odisha,OR_Bargarh,Bargarh,11219,340,10837,42,0,0,0,0,0,,
456,OR,Odisha,OR_Bhadrak,Bhadrak,7630,90,7511,29,0,0,0,0,0,,
455,OR,Odisha,OR_Boudh,Boudh,2830,4,2815,11,0,0,0,0,0,,
457,OR,Odisha,OR_Cuttack,Cuttack,29841,314,29381,146,0,0,0,0,0,,
458,OR,Odisha,OR_Deogarh,Deogarh,1415,11,1399,5,0,0,0,0,0,,
459,OR,Odisha,OR_Dhenkanal,Dhenkanal,5757,18,5710,29,0,0,0,0,0,,
460,OR,Odisha,OR_Gajapati,Gajapati,4100,12,4055,33,0,0,0,0,0,,
461,OR,Odisha,OR_Ganjam,Ganjam,22111,92,21762,257,0,0,0,0,0,,
462,OR,Odisha,OR_Jagatsinghpur,Jagatsinghpur,9223,24,9161,38,0,0,0,0,0,,
463,OR,Odisha,OR_Jajpur,Jajpur,12563,112,12425,26,0,0,0,0,0,,
464,OR,Odisha,OR_Jharsuguda,Jharsuguda,8226,205,7995,26,0,0,0,0,0,,
465,OR,Odisha,OR_Kalahandi,Kalahandi,6995,493,6469,33,0,0,0,0,0,,
466,OR,Odisha,OR_Kandhamal,Kandhamal,5987,30,5924,33,0,0,0,0,0,,
467,OR,Odisha,OR_Kendrapara,Kendrapara,9202,25,9148,29,0,0,0,0,0,,
468,OR,Odisha,OR_Kendujhar,Kendujhar,8156,85,8033,38,0,0,0,0,0,,
469,OR,Odisha,OR_Khordha,Khordha,54653,896,53406,351,0,0,0,0,0,,
470,OR,Odisha,OR_Koraput,Koraput,7974,49,7909,16,0,0,0,0,0,,
471,OR,Odisha,OR_Malkangiri,Malkangiri,5250,4,5218,28,0,0,0,0,0,,
472,OR,Odisha,OR_Mayurbhanj,Mayurbhanj,14601,157,14351,93,0,0,0,0,0,,
473,OR,Odisha,OR_Nabarangapur,Nabarangapur,5983,110,5857,16,0,0,0,0,0,,
474,OR,Odisha,OR_Nayagarh,Nayagarh,6538,36,6455,47,0,0,0,0,0,,
475,OR,Odisha,OR_Nuapada,Nuapada,8399,310,8062,27,0,0,0,0,0,,
476,OR,Odisha,OR_Puri,Puri,14766,204,14440,122,0,0,0,0,0,,
477,OR,Odisha,OR_Rayagada,Rayagada,8589,77,8467,45,0,0,0,0,0,,
478,OR,Odisha,OR_Sambalpur,Sambalpur,10560,291,10191,78,0,0,0,0,0,,
479,OR,Odisha,OR_Subarnapur,Subarnapur,4843,42,4780,21,0,0,0,0,0,,
480,OR,Odisha,OR_Sundargarh,Sundargarh,17061,917,15966,178,0,0,0,0,0,,
485,PB,Punjab,PB_Amritsar,Amritsar,23634,3119,19768,747,0,0,0,0,0,,
486,PB,Punjab,PB_Barnala,Barnala,2839,320,2442,77,0,0,0,0,0,,
487,PB,Punjab,PB_Bathinda,Bathinda,12611,1410,10938,263,0,0,0,0,0,,
488,PB,Punjab,PB_Faridkot,Faridkot,5348,528,4724,96,0,0,0,0,0,,
489,PB,Punjab,PB_Fatehgarh Sahib,Fatehgarh Sahib,4008,285,3601,122,0,0,0,0,0,,
490,PB,Punjab,PB_Fazilka,Fazilka,4696,274,4336,86,0,0,0,0,0,,
491,PB,Punjab,PB_Ferozepur,Ferozepur,5656,418,5065,173,0,0,0,0,0,,
492,PB,Punjab,PB_Gurdaspur,Gurdaspur,12023,859,10787,377,0,0,0,0,0,,
493,PB,Punjab,PB_Hoshiarpur,Hoshiarpur,16123,1231,14275,617,0,0,0,0,0,,
494,PB,Punjab,PB_Jalandhar,Jalandhar,33361,3315,29073,973,0,0,0,0,0,,
495,PB,Punjab,PB_Kapurthala,Kapurthala,10064,986,8795,283,0,0,0,0,0,,
496,PB,Punjab,PB_Ludhiana,Ludhiana,38052,3193,33665,1194,0,0,0,0,0,,
497,PB,Punjab,PB_Mansa,Mansa,3209,326,2827,56,0,0,0,0,0,,
498,PB,Punjab,PB_Moga,Moga,3876,373,3397,106,0,0,0,0,0,,
499,PB,Punjab,PB_Pathankot,Pathankot,7047,428,6443,176,0,0,0,0,0,,
500,PB,Punjab,PB_Patiala,Patiala,24592,2482,21486,624,0,0,0,0,0,,
501,PB,Punjab,PB_Rupnagar,Rupnagar,5985,951,4816,218,0,0,0,0,0,,
502,PB,Punjab,PB_S.A.S. Nagar,S.A.S. Nagar,30604,4643,25490,471,0,0,0,0,0,,
503,PB,Punjab,PB_Sangrur,Sangrur,6076,493,5336,247,0,0,0,0,0,,
504,PB,Punjab,PB_Shahid Bhagat Singh Nagar,Shahid Bhagat Singh Nagar,7756,430,7116,210,0,0,0,0,0,,
505,PB,Punjab,PB_Sri Muktsar Sahib,Sri Muktsar Sahib,4874,507,4256,111,0,0,0,0,0,,
506,PB,Punjab,PB_Tarn Taran,Tarn Taran,4060,648,3249,163,0,0,0,0,0,,
481,PY,Puducherry,PY_Karaikal,Karaikal,4904,472,4355,77,0,0,0,0,0,"2 case of TN has been transferred,so has been reduced from the total count.",
482,PY,Puducherry,PY_Mahe,Mahe,2388,60,2317,11,0,0,0,0,0,"1 case of KL have been transferred,so have been reduced from the total count",
483,PY,Puducherry,PY_Puducherry,Puducherry,33982,1505,31923,554,0,0,0,0,0,"209 cases(204 of TN, 1 of AP and 4 other) have been transferred,so have been reduced from the total count.[July 18]4 cases have transferred to TN and have been reduced from recovered cases.",
484,PY,Puducherry,PY_Yanam,Yanam,2191,47,2099,45,0,0,0,0,0,"2 cases of AP have been transferred,so have been reduced from the total count",
507,RJ,Rajasthan,RJ_Ajmer,Ajmer,18737,870,17635,232,0,0,0,0,0,,
508,RJ,Rajasthan,RJ_Alwar,Alwar,22836,737,22019,80,0,0,0,0,0,,
509,RJ,Rajasthan,RJ_Banswara,Banswara,3119,370,2709,40,0,0,0,0,0,,
510,RJ,Rajasthan,RJ_Baran,Baran,3150,387,2727,36,0,0,0,0,0,,
511,RJ,Rajasthan,RJ_Barmer,Barmer,5264,107,5103,54,0,0,0,0,0,,
512,RJ,Rajasthan,RJ_Bharatpur,Bharatpur,9314,127,9067,120,0,0,0,0,0,,
513,RJ,Rajasthan,RJ_Bhilwara,Bhilwara,11955,1150,10764,41,0,0,0,0,0,,
514,RJ,Rajasthan,RJ_Bikaner,Bikaner,19658,447,19043,168,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_BSF Camp,BSF Camp,85,0,85,0,0,0,0,0,0,,
515,RJ,Rajasthan,RJ_Bundi,Bundi,3353,275,3058,20,0,0,0,0,0,,
516,RJ,Rajasthan,RJ_Chittorgarh,Chittorgarh,5136,804,4287,45,0,0,0,0,0,,
517,RJ,Rajasthan,RJ_Churu,Churu,4445,46,4357,42,0,0,0,0,0,,
518,RJ,Rajasthan,RJ_Dausa,Dausa,2517,69,2423,25,0,0,0,0,0,,
519,RJ,Rajasthan,RJ_Dholpur,Dholpur,3924,126,3769,29,0,0,0,0,0,,
520,RJ,Rajasthan,RJ_Dungarpur,Dungarpur,7386,1406,5942,38,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Evacuees,Evacuees,61,0,61,0,0,0,0,0,0,,
521,RJ,Rajasthan,RJ_Ganganagar,Ganganagar,7120,253,6825,42,0,0,0,0,0,,
522,RJ,Rajasthan,RJ_Hanumangarh,Hanumangarh,3406,310,3084,12,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Italians,Italians,2,0,2,0,0,0,0,0,0,,
523,RJ,Rajasthan,RJ_Jaipur,Jaipur,65663,4777,60354,532,0,0,0,0,0,,
524,RJ,Rajasthan,RJ_Jaisalmer,Jaisalmer,2317,54,2238,25,0,0,0,0,0,,
525,RJ,Rajasthan,RJ_Jalore,Jalore,5922,263,5606,53,0,0,0,0,0,,
526,RJ,Rajasthan,RJ_Jhalawar,Jhalawar,4221,257,3938,26,0,0,0,0,0,,
527,RJ,Rajasthan,RJ_Jhunjhunu,Jhunjhunu,4690,74,4561,55,0,0,0,0,0,,
528,RJ,Rajasthan,RJ_Jodhpur,Jodhpur,48971,3292,45365,314,0,0,0,0,0,,
529,RJ,Rajasthan,RJ_Karauli,Karauli,1713,108,1585,20,0,0,0,0,0,,
530,RJ,Rajasthan,RJ_Kota,Kota,23651,1830,21644,177,0,0,0,0,0,,
531,RJ,Rajasthan,RJ_Nagaur,Nagaur,10811,282,10430,99,0,0,0,0,0,,
0,RJ,Rajasthan,RJ_Other State,Other State,189,0,150,39,0,0,0,0,0,,
532,RJ,Rajasthan,RJ_Pali,Pali,11609,432,11065,112,0,0,0,0,0,,
533,RJ,Rajasthan,RJ_Pratapgarh,Pratapgarh,1603,201,1377,25,0,0,0,0,0,,
534,RJ,Rajasthan,RJ_Rajsamand,Rajsamand,5594,910,4627,57,0,0,0,0,0,,
535,RJ,Rajasthan,RJ_Sawai Madhopur,Sawai Madhopur,2361,234,2099,28,0,0,0,0,0,,
536,RJ,Rajasthan,RJ_Sikar,Sikar,9462,304,9055,103,0,0,0,0,0,,
537,RJ,Rajasthan,RJ_Sirohi,Sirohi,4708,894,3784,30,0,0,0,0,0,,
538,RJ,Rajasthan,RJ_Tonk,Tonk,3686,172,3478,36,0,0,0,0,0,,
539,RJ,Rajasthan,RJ_Udaipur,Udaipur,15648,2517,12988,143,0,0,0,0,0,,
540,SK,Sikkim,SK_East Sikkim,East Sikkim,1799,690,1106,3,0,0,0,0,0,,
541,SK,Sikkim,SK_North Sikkim,North Sikkim,9,8,1,0,0,0,0,0,0,,
542,SK,Sikkim,SK_South Sikkim,South Sikkim,520,447,73,0,0,0,0,0,0,,
543,SK,Sikkim,SK_West Sikkim,West Sikkim,111,96,15,0,0,0,0,0,0,,
0,TG,Telangana,TG_Foreign Evacuees,Foreign Evacuees,33,33,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TG,Telangana,TG_Other State,Other State,250,250,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
576,TG,Telangana,TG_Adilabad,Adilabad,3510,3495,15,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
577,TG,Telangana,TG_Bhadradri Kothagudem,Bhadradri Kothagudem,9324,9320,4,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
578,TG,Telangana,TG_Hyderabad,Hyderabad,85502,85174,305,23,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
579,TG,Telangana,TG_Jagtial,Jagtial,7102,7100,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
580,TG,Telangana,TG_Jangaon,Jangaon,3926,3925,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
581,TG,Telangana,TG_Jayashankar Bhupalapally,Jayashankar Bhupalapally,2697,2697,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
582,TG,Telangana,TG_Jogulamba Gadwal,Jogulamba Gadwal,3499,3473,25,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
583,TG,Telangana,TG_Kamareddy,Kamareddy,6141,6133,8,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
584,TG,Telangana,TG_Karimnagar,Karimnagar,14799,14783,16,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
585,TG,Telangana,TG_Khammam,Khammam,11218,11215,3,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
586,TG,Telangana,TG_Komaram Bheem,Komaram Bheem,1865,1863,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
587,TG,Telangana,TG_Mahabubabad,Mahabubabad,5640,5639,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
588,TG,Telangana,TG_Mahabubnagar,Mahabubnagar,5712,5704,8,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
589,TG,Telangana,TG_Mancherial,Mancherial,6181,6180,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
590,TG,Telangana,TG_Medak,Medak,3996,3992,4,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
591,TG,Telangana,TG_Medchal Malkajgiri,Medchal Malkajgiri,22058,22048,9,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
592,TG,Telangana,TG_Mulugu,Mulugu,3091,3089,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
593,TG,Telangana,TG_Nagarkurnool,Nagarkurnool,4713,4711,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
594,TG,Telangana,TG_Nalgonda,Nalgonda,13116,13104,12,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
595,TG,Telangana,TG_Narayanpet,Narayanpet,1235,1234,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
596,TG,Telangana,TG_Nirmal,Nirmal,3604,3591,13,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
597,TG,Telangana,TG_Nizamabad,Nizamabad,9675,9645,30,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
598,TG,Telangana,TG_Peddapalli,Peddapalli,6229,6228,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
599,TG,Telangana,TG_Rajanna Sircilla,Rajanna Sircilla,5631,5629,2,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
600,TG,Telangana,TG_Ranga Reddy,Ranga Reddy,26422,26403,17,2,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
601,TG,Telangana,TG_Sangareddy,Sangareddy,8964,8958,6,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
602,TG,Telangana,TG_Siddipet,Siddipet,8463,8462,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
603,TG,Telangana,TG_Suryapet,Suryapet,7509,7485,24,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
604,TG,Telangana,TG_Vikarabad,Vikarabad,3022,3006,15,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
605,TG,Telangana,TG_Wanaparthy,Wanaparthy,3799,3799,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
606,TG,Telangana,TG_Warangal Rural,Warangal Rural,4032,4032,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
607,TG,Telangana,TG_Warangal Urban,Warangal Urban,12716,12693,23,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
608,TG,Telangana,TG_Yadadri Bhuvanagiri,Yadadri Bhuvanagiri,4460,4460,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in Telangana bulletin,
0,TN,Tamil Nadu,TN_Railway Quarantine,Railway Quarantine,428,0,428,0,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Airport Quarantine,Airport Quarantine,2044,25,2017,2,0,0,0,0,0,,
0,TN,Tamil Nadu,TN_Other State,Other State,0,-3,0,3,0,0,0,0,0,,
544,TN,Tamil Nadu,TN_Ariyalur,Ariyalur,4895,69,4777,49,0,0,0,0,0,,
732,TN,Tamil Nadu,TN_Chengalpattu,Chengalpattu,59513,3083,55591,839,0,0,0,0,0,,
545,TN,Tamil Nadu,TN_Chennai,Chennai,261072,12864,243909,4299,0,0,0,0,0,[July 22]: 444 backdated deceased entries added to Chennai in TN bulletin.,
546,TN,Tamil Nadu,TN_Coimbatore,Coimbatore,62070,3389,57982,699,0,0,0,0,0,,
547,TN,Tamil Nadu,TN_Cuddalore,Cuddalore,26340,583,25465,292,0,0,0,0,0,,
548,TN,Tamil Nadu,TN_Dharmapuri,Dharmapuri,6977,200,6722,55,0,0,0,0,0,,
549,TN,Tamil Nadu,TN_Dindigul,Dindigul,12317,379,11736,202,0,0,0,0,0,,
550,TN,Tamil Nadu,TN_Erode,Erode,15750,373,15227,150,0,0,0,0,0,,
734,TN,Tamil Nadu,TN_Kallakurichi,Kallakurichi,11081,125,10848,108,0,0,0,0,0,,
